campaign,profile,family,family_class,n_sites,realization,target_styles_requested,unique_targets_used,disorder_values,disorder_seeds,gamma_values,time_samples,records,quantum_simulations,classical_simulations,estimated_cost_units,edge_count,density,mean_degree,max_degree,unique_candidate_targets,duplicate_target_styles,edge_models
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,0,4,3,5,16,8,180,240,1920,240,5431323927.272728,27.0,0.4090909090909091,4.5,9.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,1,4,3,5,16,8,180,240,1920,240,5431323927.272728,27.0,0.4090909090909091,4.5,10.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,2,4,2,5,16,8,180,160,1280,160,3620882618.1818185,27.0,0.4090909090909091,4.5,11.0,2.0,2.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,3,4,4,5,16,8,180,320,2560,320,7241765236.363637,27.0,0.4090909090909091,4.5,7.0,4.0,0.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,4,4,3,5,16,8,180,240,1920,240,5431323927.272728,27.0,0.4090909090909091,4.5,10.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,5,4,3,5,16,8,180,240,1920,240,5431323927.272728,27.0,0.4090909090909091,4.5,7.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,6,4,2,5,16,8,180,160,1280,160,3620882618.1818185,27.0,0.4090909090909091,4.5,11.0,2.0,2.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,7,4,2,5,16,8,180,160,1280,160,3620882618.1818185,27.0,0.4090909090909091,4.5,11.0,2.0,2.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,8,4,3,5,16,8,180,240,1920,240,5431323927.272728,27.0,0.4090909090909091,4.5,9.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,9,4,2,5,16,8,180,160,1280,160,3620882618.1818185,27.0,0.4090909090909091,4.5,10.0,2.0,2.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,10,4,3,5,16,8,180,240,1920,240,5431323927.272728,27.0,0.4090909090909091,4.5,10.0,3.0,1.0,
dynamic_network_atlas,strong,barabasi_albert_scale_free,random_graph,12,11,4,4,5,16,8,180,320,2560,320,7241765236.363637,27.0,0.4090909090909091,4.5,8.0,4.0,0.0,
dynamic_network_atlas,strong,modular_two_community,random_graph,8,0,4,2,5,16,8,180,160,1280,160,905142857.1428571,11.0,0.39285714285714285,2.75,4.0,2.0,2.0,
dynamic_network_atlas,strong,modular_two_community,random_graph,8,1,4,3,5,16,8,180,240,1920,240,1357714285.7142856,11.0,0.39285714285714285,2.75,4.0,3.0,1.0,
dynamic_network_atlas,strong,modular_two_community,random_graph,8,2,4,3,5,16,8,180,240,1920,240,1234285714.2857144,10.0,0.35714285714285715,2.5,3.0,3.0,1.0,
dynamic_network_atlas,strong,modular_two_community,random_graph,8,3,4,3,5,16,8,180,240,1920,240,1604571428.5714285,13.0,0.4642857142857143,3.25,4.0,3.0,1.0,
dynamic_network_atlas,strong,modular_two_community,random_graph,8,4,4,2,5,16,8,180,160,1280,160,658285714.2857143,8.0,0.2857142857142857,2.0,3.0,2.0,2.0,
