record_id,family,n_sites,instance_id,target_style,trap_site,disorder_strength_over_coupling,disorder_seed,best_arrival,classical_arrival,quantum_minus_classical,qc_case_label
ring_N8_r0_s9308_target-far_W1.200_seed11,ring,8,ring_N8_r0_s9308,far,3,1.2,11,0.4203501596575169,0.23514051899867913,0.18520964065883774,quantum_higher
ring_N8_r0_s9308_target-far_W1.200_seed13,ring,8,ring_N8_r0_s9308,far,3,1.2,13,0.45462928882023623,0.23514051899867913,0.2194887698215571,quantum_higher
ring_N8_r0_s9308_target-far_W1.200_seed17,ring,8,ring_N8_r0_s9308,far,3,1.2,17,0.4059580799491184,0.23514051899867913,0.1708175609504393,quantum_higher
ring_N12_r0_s9312_target-near_W0.000_seed3,ring,12,ring_N12_r0_s9312,near,0,0.0,3,0.4041180956578508,0.4665186239988484,-0.06240052834099763,classical_higher
ring_N12_r0_s9312_target-near_W0.000_seed5,ring,12,ring_N12_r0_s9312,near,0,0.0,5,0.4041180956578508,0.4665186239988484,-0.06240052834099763,classical_higher
ring_N12_r0_s9312_target-near_W0.000_seed7,ring,12,ring_N12_r0_s9312,near,0,0.0,7,0.4041180956578508,0.4665186239988484,-0.06240052834099763,classical_higher
ring_N12_r0_s9312_target-near_W0.000_seed11,ring,12,ring_N12_r0_s9312,near,0,0.0,11,0.4041180956578508,0.4665186239988484,-0.06240052834099763,classical_higher
ring_N12_r0_s9312_target-near_W0.000_seed13,ring,12,ring_N12_r0_s9312,near,0,0.0,13,0.4041180956578508,0.4665186239988484,-0.06240052834099763,classical_higher
ring_N12_r0_s9312_target-near_W0.000_seed17,ring,12,ring_N12_r0_s9312,near,0,0.0,17,0.4041180956578508,0.4665186239988484,-0.06240052834099763,classical_higher
ring_N12_r0_s9312_target-near_W0.600_seed3,ring,12,ring_N12_r0_s9312,near,0,0.6,3,0.39481047412558806,0.4665186239988484,-0.07170814987326035,classical_higher
ring_N12_r0_s9312_target-near_W0.600_seed5,ring,12,ring_N12_r0_s9312,near,0,0.6,5,0.414715431006819,0.4665186239988484,-0.0518031929920294,classical_higher
ring_N12_r0_s9312_target-near_W0.600_seed7,ring,12,ring_N12_r0_s9312,near,0,0.6,7,0.41555591225308947,0.4665186239988484,-0.05096271174575895,classical_higher
ring_N12_r0_s9312_target-near_W0.600_seed11,ring,12,ring_N12_r0_s9312,near,0,0.6,11,0.401853171821435,0.4665186239988484,-0.06466545217741343,classical_higher
